example_id,sentence,lang,score,raw_output
3c,Ola er en mann som alle som spiller sjakk med ender opp med å like ham,Norwegian,4,"The sentence is mostly grammatical, but the word order in the subordinate clause 'som alle som spiller sjakk med ender opp med å like ham' is a bit unusual. A more common way to phrase it would be 'som alle ender opp med å like når de spiller sjakk med'."
3d,Ola er en mann som alle som spiller sjakk med ham ender opp med å like ham,Norwegian,5,"The sentence is fully grammatical. It uses a complex sentence structure with a subordinate clause 'som alle som spiller sjakk med ham ender opp med å like ham' to describe Ola, and the word order is correct."
3a,Ola is a man who everyone who plays chess with ends up liking,English,4,"The sentence is mostly grammatical, but the embedded clause 'who everyone who plays chess with' is somewhat complex and may be considered awkward or wordy by some. However, it follows the rules of English grammar."
3b,Ola is a man who everyone who plays chess with him ends up liking,English,4,"The sentence is mostly grammatical, but the phrase 'who everyone who plays chess with him' is a bit complex and may be considered awkward or wordy by some. However, it follows the rules of English grammar, with 'who' introducing a relative clause and 'everyone who plays chess with him' functioning as a noun phrase."
3c,Ola is a man who everyone who plays chess with ends up liking him,English,2,The sentence is mostly ungrammatical due to the incorrect placement of 'him' and the awkward phrasing of the relative clause. A more grammatical rephrasing would be: 'Ola is a man who everyone ends up liking after playing chess with him.'
3d,Ola is a man who everyone who plays chess with him ends up liking him,English,2,The sentence is mostly ungrammatical due to the repeated and unnecessary use of 'him' and the awkward phrasing of the relative clause. A more grammatical rephrasing would be: 'Ola is a man who everyone ends up liking after playing chess with him.'
rel1,The man who has eaten dinner will leave soon,English,5,"The sentence is fully grammatical, with a correctly formed relative clause and proper verb tense agreement."
rel2,Has the man who eaten dinner will leave soon,English,1,"The sentence contains multiple grammatical errors, including incorrect verb tense and word order. A grammatically correct version would be 'The man who has eaten dinner will leave soon' or 'Has the man who eaten dinner left?' but the original sentence is completely ungrammatical."
rel3,Will the man who has eaten dinner leave soon,English,5,"The sentence is fully grammatical, with proper use of a relative clause and verb tenses."
rel4,The woman who had read the book might go to the library,English,5,"The sentence is fully grammatical, with a correctly formed relative clause and proper use of verb tenses and modal auxiliary 'might'."
rel5,Had the woman who read the book might go to the library,English,1,"The sentence contains multiple grammatical errors, including incorrect use of the past perfect 'had' and the modal verb 'might' in the same clause, as well as a lack of clear connection between the clauses."
rel6,Might the woman who had read the book go to the library,English,5,"The sentence is fully grammatical, with correct use of the modal verb 'might', subject-verb agreement, and proper clause structure."
rel7,The boy who has seen the movie will go home,English,5,"The sentence is fully grammatical, with a correctly formed relative clause 'who has seen the movie' modifying the subject 'The boy'."
rel9,Will the boy who has seen the movie go home,English,5,"The sentence is fully grammatical, with proper use of a relative clause and a question in the future tense."
rel1,Mannen som spiste middag reiste hjem,Norwegian,5,"The sentence is fully grammatical, following standard Norwegian sentence structure with a main clause and a subordinate clause."
rel2,Spiste mannen som middag reiste hjem,Norwegian,2,"The word order is incorrect. In Norwegian, the verb 'spiste' should be followed by the object 'middag', and 'som' is not the correct word to use here. A more grammatical sentence would be 'Mannen spiste middag og reiste hjem'."
rel3,Reiste mannen som spiste middag hjem,Norwegian,5,"The sentence is fully grammatical, following the typical Norwegian sentence structure of verb-subject-object (VSO) in a main clause, with a subordinate clause 'som spiste middag' correctly describing the noun 'mannen'."
rel4,Kvinnen som leste boka dro til biblioteket,Norwegian,5,"The sentence is fully grammatical, with correct use of the relative pronoun 'som' and verb conjugation."
rel5,Leste kvinnen som boka dro til biblioteket,Norwegian,1,"The word order is incorrect. A more grammatical sentence would be 'Kvinnen som leste boka, dro til biblioteket'."
rel6,Dro kvinnen som leste boka til biblioteket,Norwegian,1,"The sentence lacks a verb in the correct position to match the subject 'kvinnen'. The verb 'dro' seems to be misplaced or incorrectly used. A more grammatical sentence would be 'Kvinnen som leste boka, dro til biblioteket'."
rel7,Gutten som så filmen gikk hjem,Norwegian,5,"The sentence is fully grammatical, following standard Norwegian sentence structure with a main clause and a subordinate clause."
rel8,Så gutten som filmen gikk hjem,Norwegian,1,"The sentence lacks a verb and has an unclear word order, making it completely ungrammatical."
rel9,Gikk gutten som så filmen hjem,Norwegian,2,The sentence lacks a main verb in the correct position and the word order is incorrect. A more grammatical sentence would be 'Gutten som så filmen gikk hjem'.
atb1,Hvem sa du at Kari liker og Per hater,Norwegian,5,"The sentence is fully grammatical, with correct word order and use of subordinating conjunction 'at' and coordinating conjunction 'og'."
atb2,Hva tror du at han tok med seg og la i bilen,Norwegian,5,"The sentence is fully grammatical, with correct word order and use of subordinate clause 'at han tok med seg og la i bilen'."
atb3,Hvilken bok sa hun at hun kjøpte og leste på toget,Norwegian,5,"The sentence is fully grammatical, with correct use of the interrogative pronoun 'hvilken', verb conjugation, and sentence structure."
atb4,Hvem sa du at Kari liker Per og hater Marit,Norwegian,5,"The sentence is fully grammatical, with correct word order and use of subordinate clause 'at Kari liker Per og hater Marit' after the verb 'sa'."
atb5,Hva tror du at han tok med seg kameraet og la i bilen,Norwegian,5,"The sentence is fully grammatical, following standard Norwegian sentence structure and word order."
atb6,Hvilken bok sa hun at hun kjøpte og leste avisen på toget,Norwegian,2,"The sentence is mostly ungrammatical because it starts with a question about a book (Hvilken bok), but then shifts to talking about reading a newspaper (leste avisen) on the train, which is unrelated to the initial question about the book."
atb1,Who did you say that Kari likes and Per hates,English,5,"The sentence is fully grammatical, with correct use of a wh-question, verb conjugation, and coordination of two clauses with 'and'."
atb2,What do you think he brought and placed in the car,English,4,The sentence is mostly grammatical but lacks a question mark at the end and possibly a more natural word order or phrasing for better clarity.
atb3,Which book did she say she bought and read on the train,English,5,"The sentence is fully grammatical, with correct use of a wh-question, verb tenses, and coordination of the verbs 'bought' and 'read'."
atb4,Who did you say that Kari likes Per and hates Marit,English,2,"The sentence is mostly ungrammatical due to the incorrect placement of 'that' and the lack of a question word or phrase to clearly indicate what is being asked about Per and Marit. A more grammatical construction would be: 'Who did you say that Kari likes?' or 'You said that Kari likes Per and hates Marit, but why?'"
atb5,What do you think he brought the camera and placed in the car,English,2,"The sentence is mostly ungrammatical due to the unclear connection between 'brought the camera' and 'placed in the car', which seems to be missing a grammatical link, such as 'that' or a more specific description of what was placed in the car."
atb6,Which book did she say she bought and read the newspaper on the train,English,1,"The sentence is completely ungrammatical due to the lack of coordination between the two clauses 'she bought' and 'read the newspaper on the train', which seem to be describing unrelated actions."
lbe1,Who do you believe he sold pictures of,English,4,"The sentence is mostly grammatical but lacks a question word or phrase at the end to complete the question, e.g., 'to?' or 'to whom?'"
lbe2,Who did she say they painted a portrait of,English,5,"The sentence is fully grammatical, featuring a correctly formed indirect question with the subject 'who' and the verb 'painted' in the correct form, along with the pronoun 'they' as the subject of the subordinate clause."
lbe1,Hvem tror du at han solgte bilder av,Norwegian,2,The sentence is incomplete and lacks a direct object or other necessary components to form a grammatically correct sentence in Norwegian.
lbe2,Hvem sa hun at de malte et portrett av,Norwegian,2,The sentence is incomplete and lacks a main verb to complete the subordinate clause.
lbe3,Who do you believe pictures of will be on sale,English,4,"The sentence is mostly grammatical, but the word order is slightly unusual due to the complex noun phrase 'pictures of whom'. A more common way to phrase this would be 'Whose pictures do you believe will be on sale?' or 'Pictures of whom do you believe will be on sale?'"
lbe4,Who did she say portraits of hung in the gallery,English,4,"The sentence is mostly grammatical, but the word order in the embedded clause is unusual, which may cause some confusion. A more common way to phrase this would be 'Who did she say was portrayed in the gallery?' or 'Whose portraits did she say hung in the gallery?'"
lbe3,Hvem tror du at bilder av vil bli lagt ut for salg,Norwegian,2,"The word order is incorrect. 'Bilder av' seems to be a phrase that should be followed by a noun or pronoun, but it's unclear what it refers to. A more grammatical sentence would be 'Hvem tror du at bilder av X vil bli lagt ut for salg?' where X is the subject of the pictures."
lbe4,Hvem sa hun at portretter av hang i galleriet,Norwegian,2,The sentence lacks a verb after 'av' and the word order seems incorrect. A more grammatical sentence would be: 'Hvem sa hun at det hang portretter av i galleriet?' or 'Hvem sa hun at portretter hang i galleriet?'
