example_id,sentence,code,keyword,lang,score,raw_output
36,Border collien er akkurat den type hund som alle som eier den tar den med til veterinæren.,pl-n-3,dog,Norwegian,4,"The sentence is mostly grammatical, but the repetition of 'den' in the subordinate clause is unnecessary and slightly awkward. A more idiomatic way to phrase it would be 'Border collien er akkurat den type hund som alle som eier den, tar med til veterinæren'."
37,Alle som eier en Border Collie tar den med til veterinæren.,pl-n-b,dog,Norwegian,5,"The sentence is fully grammatical, with correct use of subject-verb agreement, pronoun reference, and prepositional phrases."
39,This is a problem that everyone who studies spends hours trying to solve.,pl-e-0,problem,English,5,"The sentence is fully grammatical, with correct use of a relative clause and a subordinate clause to describe the problem."
40,This is a problem that everyone who studies it spends hours trying to solve.,pl-e-1,problem,English,5,"The sentence is fully grammatical, with correct use of a relative clause and a subordinate clause to describe the problem."
41,This is a problem that everyone who studies spends hours trying to solve it.,pl-e-2,problem,English,2,"The sentence is mostly ungrammatical due to the unnecessary pronoun 'it' at the end, which creates a redundancy in the sentence. A more grammatical version would be: 'This is a problem that everyone who studies spends hours trying to solve.'"
42,This is a problem that everyone who studies it spends hours trying to solve it.,pl-e-3,problem,English,2,"The sentence is mostly ungrammatical due to the repeated pronoun 'it', which creates a grammatical error. A more grammatical construction would be 'This is a problem that everyone who studies it spends hours trying to solve.'"
43,Everyone who studies it spends hours trying to solve it.,pl-e-b,problem,English,5,"The sentence is fully grammatical, with correct subject-verb agreement and proper use of pronouns."
45,Det her er et problem som alle som studerer tilbringer timer med å løse.,pl-n-0,problem,Norwegian,5,"The sentence is fully grammatical, with correct use of subordinate clauses and verb conjugation."
46,Det her er et problem som alle som studerer det tilbringer timer med å løse.,pl-n-1,problem,Norwegian,5,"The sentence is fully grammatical, with correct use of subordinate clauses and verb conjugation."
47,Det her er et problem som alle som studerer tilbringer timer med å løse det.,pl-n-2,problem,Norwegian,2,"The sentence is mostly ungrammatical because it contains a redundant pronoun 'det' at the end, which is not necessary in Norwegian. A more grammatical way to phrase it would be 'Det her er et problem som alle som studerer tilbringer timer med å løse.'"
48,Det her er et problem som alle som studerer det tilbringer timer med å løse det.,pl-n-3,problem,Norwegian,2,"The sentence is mostly ungrammatical because it contains a redundant pronoun 'det' at the end, which is already referred to earlier in the sentence. A more grammatical way to phrase it would be: 'Det her er et problem som alle som studerer det tilbringer timer med å løse.'"
49,Alle som studerer det her problemet tilbringer timer med å løse det.,pl-n-b,problem,Norwegian,5,"The sentence is fully grammatical, with correct use of the relative pronoun 'som', verb conjugation, and prepositional phrases."
53,Hvem fortalte du om krigen uten å vite var sjøfolk.,lp-n-0,war,Norwegian,1,"The sentence lacks a clear subject-verb-object structure and the word order is incorrect, particularly the placement of 'var sjøfolk' which seems to be intended as a relative clause but is not properly connected to the rest of the sentence."
54,Hvem fortalte du om krigen uten å vite de var sjøfolk.,lp-n-2,war,Norwegian,2,"The sentence lacks a subordinating conjunction or a relative pronoun to connect the clause 'de var sjøfolk' to the rest of the sentence, and the word order is also unusual. A more grammatical version would be 'Hvem fortalte du om krigen uten å vite at de var sjøfolk.'"
55,Hvem fortalte du dem om krigen uten å vite var sjøfolk.,lp-n-1,war,Norwegian,1,"The sentence lacks a subordinating conjunction to introduce the subordinate clause and has word order issues, making it completely ungrammatical."
56,Hvem fortalte du dem om krigen uten å vite de var sjøfolk.,lp-n-3,war,Norwegian,2,The sentence lacks correct subclause word order and punctuation. A more grammatical version would be: 'Hvem fortalte du dem om krigen uten å vite at de var sjøfolk?'
57,Du fortalte dem om krigen uten å vite de var sjøfolk.,lp-n-b,war,Norwegian,5,"The sentence is fully grammatical, with correct use of verb conjugation, prepositions, and sentence structure."
59,Who did you tell about the war without knowing were veterans.,lp-e-0,war,English,1,"The sentence is completely ungrammatical due to the incorrect placement and usage of the relative clause 'without knowing were veterans', which seems to be missing a subject and proper verb agreement."
60,Who did you tell about the war without knowing they were veterans.,lp-e-2,war,English,2,The sentence is mostly ungrammatical because it lacks a question mark at the end and the phrase 'without knowing they were veterans' seems to be a non-restrictive clause that would be more grammatically acceptable as a separate sentence or set off by a comma.
61,Who did you tell them about the war without knowing were veterans.,lp-e-1,war,English,1,The sentence is completely ungrammatical due to the misplaced relative clause 'were veterans' and the unclear relationship between 'who' and the rest of the sentence.
62,Who did you tell them about the war without knowing they were veterans.,lp-e-3,war,English,1,"The sentence is missing a question word or phrase to complete the interrogative clause, and the phrase 'without knowing they were veterans' seems out of place; a more grammatical construction would be 'Who did you tell about the war without knowing they were veterans?' or 'Who did you tell about the war, not knowing they were veterans?'"
63,You told them about the war without knowing they were veterans.,lp-e-b,war,English,5,"The sentence is fully grammatical, with correct use of a subordinate clause 'without knowing they were veterans' to provide additional information about the circumstances of the action described in the main clause."
64,Her er himmelen mannen som ville klippe opp prøver å knuse i tusen biter.,pl-n-0,stretch,Norwegian,1,"The sentence is completely ungrammatical due to the incorrect word order and unclear meaning. 'Her er himmelen mannen' is not a grammatically correct phrase, and the sentence lacks coherence."
65,Her er himmelen mannen som ville klippe den opp prøver å knuse i tusen biter.,pl-n-1,stretch,Norwegian,1,"The sentence is completely ungrammatical due to the incorrect word order and unclear meaning. 'Her er himmelen' is a grammatical phrase, but the following phrase 'mannen som ville klippe den opp prøver å knuse i tusen biter' is ungrammatical and unclear."
66,Her er himmelen mannen som ville klippe opp prøver å knuse den i tusen biter.,pl-n-2,stretch,Norwegian,1,"The sentence is completely ungrammatical due to the incorrect word order and unclear meaning. 'Her er himmelen mannen' is not a grammatically correct phrase, and the sentence as a whole does not form a coherent thought."
67,Her er himmelen mannen som ville klippe den opp prøver å knuse den i tusen biter.,pl-n-3,stretch,Norwegian,1,"The sentence is completely ungrammatical due to the incorrect word order and unclear meaning. 'Her er himmelen' is a grammatically correct phrase, but the following phrase 'mannen som ville klippe den opp' seems out of place and the sentence as a whole does not form a coherent thought."
68,Mannen som ville klippe opp himmelen prøver å knuse den i tusen biter.,pl-n-b,stretch,Norwegian,5,"The sentence is fully grammatical, with correct use of verb conjugation, word order, and sentence structure. The use of the relative clause 'som ville klippe opp himmelen' is also grammatically correct."
69,This is the sky which the man who would cut up tries to shatter into pieces.,pl-e-0,stretch,English,2,"The sentence is mostly ungrammatical due to the unclear and awkward phrasing of 'the man who would cut up', which lacks a clear object or logical connection to the rest of the sentence."
70,This is the sky which the man who would cut it up tries to shatter into pieces.,pl-e-1,stretch,English,4,"The sentence is mostly grammatical, with a complex relative clause structure. However, the phrase 'who would cut it up' seems somewhat out of place in the context of shattering the sky into pieces, making the sentence slightly awkward but still grammatically acceptable."
71,This is the sky which the man who would cut up tries to shatter it into pieces.,pl-e-2,stretch,English,2,"The sentence is mostly ungrammatical due to the unclear and awkward phrasing, particularly the clause 'the man who would cut up' which lacks a clear object, and the redundant pronoun 'it' at the end."
72,This is the sky which the man who would cut it up tries to shatter it into pieces.,pl-e-3,stretch,English,2,"The sentence is mostly ungrammatical due to the incorrect use of the pronoun 'it' after 'the sky which', creating a redundant and grammatically incorrect phrase. A more grammatical construction would be 'This is the sky that the man who would cut it up tries to shatter into pieces.'"
73,The man who would cut up the sky tries to shatter it into pieces.,pl-e-b,stretch,English,5,"The sentence is fully grammatical, with a clear subject-verb-object structure and proper use of a relative clause."
74,Which apples did she pick before she cleaned?,lp-e-0,fruit,English,5,"The sentence is fully grammatical, with correct use of a wh-question, verb tense consistency, and proper clause ordering."
75,Which apples did she pick before she cleaned them?,lp-e-2,fruit,English,5,"The sentence is fully grammatical, with correct use of a relative clause and proper verb tense consistency."
76,Which apples did she pick them before she cleaned?,lp-e-1,fruit,English,1,"The sentence is completely ungrammatical due to the incorrect use of the pronoun 'them', which is redundant and creates a grammatical error. The correct sentence would be 'Which apples did she pick before she cleaned them?'"
77,Which cities did she visit before she studied?,lp-e-0,cities,English,5,"The sentence is fully grammatical, with correct use of the interrogative pronoun 'which', verb tense, and sentence structure."
78,Which cities did she visit before she studied them?,lp-e-2,cities,English,5,"The sentence is fully grammatical, with correct use of the interrogative pronoun 'which', verb tense consistency, and proper clause structure."
79,Which cities did she visit them before she studied?,lp-e-1,cities,English,2,"The sentence is mostly ungrammatical due to the incorrect use of the pronoun 'them', which is a direct object pronoun and doesn't fit in this context. A more grammatical way to phrase this would be 'Which cities did she visit before she studied?'"
80,Which emails does he answer before he reads?,lp-e-0,emails,English,5,"The sentence is fully grammatical, with correct use of the interrogative pronoun 'which' and proper verb conjugation."
81,Which emails does he answer before he reads them?,lp-e-2,emails,English,5,"The sentence is fully grammatical, with correct use of the interrogative pronoun 'which' and proper verb conjugation."
82,Which emails does he answer them before he reads?,lp-e-1,emails,English,1,"The sentence is completely ungrammatical due to the incorrect use of the pronoun 'them', which creates a redundant and ungrammatical object-verb construction."
83,Which books do they shelve before they categorize?,lp-e-0,books,English,5,"The sentence is fully grammatical, with correct use of a subordinate clause and proper verb conjugation."
84,Which books do they shelve before they categorize them?,lp-e-2,books,English,5,"The sentence is fully grammatical, with correct use of a subordinate clause and proper pronoun agreement."
85,Which books do they shelve them before they categorize?,lp-e-1,books,English,2,"The sentence is mostly ungrammatical due to the incorrect use of the pronoun 'them', which seems to refer to 'books' but creates a redundant and confusing construction."
86,Which letters did he write before he mailed?,lp-e-0,letters,English,2,"The sentence is missing an object for the verb 'mailed', which makes it mostly ungrammatical."
87,Which letters did he write before he mailed them?,lp-e-2,letters,English,5,"The sentence is fully grammatical, with correct use of the interrogative pronoun 'which' and proper verb tense consistency."
88,Which letters did he write them before he mailed?,lp-e-1,letters,English,2,"The sentence is mostly ungrammatical due to the misplaced pronoun 'them', which seems to refer to 'letters'. A more grammatical construction would be 'Which letters did he write before he mailed them?'"
